CRASH_YEAR,CRASH_MONTH,BEAT_OF_OCCURRENCE,avg_age,avg_speed_limit,total_crashes,sum_injuries_total,sum_injuries_fatal,sum_injuries_incapacitating,sum_injuries_non_incapacitating,sum_injuries_reported_not_evident,sum_weather_category_clear,sum_weather_category_cloudy,sum_weather_category_rain,sum_weather_category_extreme,sum_weather_category_unknown,sum_lighting_category_daylight,sum_lighting_category_daylight.1,sum_lighting_category_night,sum_lighting_category_night.1,sum_lighting_category_unknown,sum_lighting_category_unknown.1,sum_roadway_surface_category_dry,sum_roadway_surface_category_wet,sum_roadway_surface_category_snow,sum_roadway_surface_category_ice,sum_roadway_surface_category_unknown,sum_road_defect_category_no_defects,sum_road_defect_category_bad,sum_road_defect_category_defect,sum_road_defect_category_debris,sum_road_defect_category_unknown,sum_damage_category_high,sum_damage_category_low,sum_damage_category_medium,sum_gender_unknown,sum_gender_female,sum_gender_male,sum_category_motorcycle,sum_category_off-road/specialized,sum_category_passenger vehicle,sum_category_public transport,sum_category_truck/commercial
2017,1,223.0,44.416666666666664,24.375,8,0.0,0.0,0.0,0.0,0.0,7,0,1,0,0,6,6,2,2,0,0,7,1,0,0,0,6,0,0,0,2,7,0,1,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2017,1,224.0,40.25,30.0,4,1.0,0.0,0.0,1.0,0.0,1,0,0,3,0,4,4,0,0,0,0,1,0,1,2,0,4,0,0,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2017,1,225.0,51.0,30.0,5,2.0,0.0,1.0,0.0,1.0,5,0,0,0,0,1,1,4,4,0,0,4,1,0,0,0,5,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0
2017,1,231.0,44.5,31.666666666666668,3,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,2,0,0,0,1,2,0,0,0,1,2,0,1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2017,1,232.0,51.333333333333336,30.0,3,4.0,0.0,0.0,3.0,1.0,2,0,0,1,0,1,1,2,2,0,0,1,0,0,2,0,3,0,0,0,0,2,0,1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2017,1,233.0,49.0,25.714285714285715,7,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,6,6,1,1,0,0,6,0,0,0,1,6,0,0,0,1,1,3,3,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2017,1,234.0,53.3,29.0,5,1.0,0.0,0.0,1.0,0.0,5,0,0,0,0,3,3,2,2,0,0,4,0,0,0,1,5,0,0,0,0,1,2,2,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2017,1,235.0,37.77777777777778,23.88888888888889,9,0.0,0.0,0.0,0.0,0.0,8,0,1,0,0,6,6,3,3,0,0,8,1,0,0,0,7,0,1,0,1,4,1,4,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2017,1,311.0,44.75,30.0,4,0.0,0.0,0.0,0.0,0.0,1,0,1,2,0,2,2,2,2,0,0,1,2,1,0,0,4,0,0,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
2017,1,312.0,44.1,30.0,15,6.0,0.0,0.0,5.0,1.0,5,0,7,1,2,9,9,6,6,0,0,4,7,1,2,1,10,0,0,0,5,9,2,4,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0
2017,1,313.0,49.611111111111114,28.88888888888889,9,2.0,0.0,0.0,0.0,2.0,6,0,2,1,0,6,6,3,3,0,0,4,2,0,2,1,8,0,0,0,1,5,1,3,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0
2017,1,314.0,39.3125,23.75,8,2.0,0.0,0.0,2.0,0.0,4,0,2,1,1,5,5,3,3,0,0,3,2,0,1,2,8,0,0,0,0,2,2,4,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0
2017,1,321.0,41.26136363636363,27.045454545454547,22,4.0,0.0,0.0,0.0,4.0,15,0,2,1,4,11,11,11,11,0,0,9,6,1,3,3,16,1,0,1,4,13,3,6,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0
2017,1,322.0,30.2,28.5,10,0.0,0.0,0.0,0.0,0.0,6,0,3,0,1,3,3,7,7,0,0,5,4,0,1,0,9,1,0,0,0,2,1,7,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
2017,1,323.0,43.80701754385965,26.842105263157894,19,3.0,0.0,0.0,2.0,1.0,14,1,3,1,0,11,11,8,8,0,0,11,6,1,1,0,16,1,0,1,1,11,3,5,0.0,0.0,0.0,0.0,0.0,34.0,0.0,2.0
2017,1,324.0,43.964285714285715,28.214285714285715,14,3.0,1.0,0.0,2.0,0.0,11,1,2,0,0,7,7,7,7,0,0,11,2,0,0,1,11,0,0,0,3,10,1,3,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0
2017,1,331.0,47.75925925925926,31.666666666666668,27,2.0,0.0,0.0,0.0,2.0,19,0,5,3,0,9,9,18,18,0,0,16,8,0,1,2,25,0,0,0,2,18,1,8,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0
2017,1,332.0,42.088235294117645,26.176470588235293,17,2.0,0.0,0.0,2.0,0.0,11,0,3,3,0,9,9,8,8,0,0,9,6,1,1,0,16,0,0,0,1,8,2,7,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0
2017,1,333.0,37.0,27.142857142857142,7,2.0,0.0,0.0,0.0,2.0,5,1,1,0,0,3,3,4,4,0,0,5,1,0,1,0,6,0,0,0,1,6,0,1,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0
2017,1,334.0,37.15384615384615,29.615384615384617,13,4.0,0.0,2.0,0.0,2.0,9,0,0,4,0,7,7,6,6,0,0,8,4,0,1,0,13,0,0,0,0,10,1,2,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0
2017,1,411.0,50.18181818181818,30.0,11,0.0,0.0,0.0,0.0,0.0,9,0,2,0,0,4,4,7,7,0,0,8,3,0,0,0,7,1,0,1,2,7,2,2,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0
2017,1,412.0,49.7037037037037,26.296296296296298,27,2.0,0.0,0.0,1.0,1.0,20,0,3,2,2,18,18,8,8,1,1,20,3,1,1,2,22,0,0,0,5,16,2,9,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0
2017,1,413.0,40.0,30.0,11,1.0,0.0,0.0,0.0,1.0,10,0,1,0,0,7,7,4,4,0,0,8,2,1,0,0,11,0,0,0,0,7,1,3,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
2017,1,414.0,43.3125,28.75,8,2.0,0.0,0.0,0.0,2.0,7,0,0,1,0,4,4,4,4,0,0,5,1,1,1,0,5,0,0,1,2,4,3,1,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2017,1,421.0,31.083333333333332,30.833333333333332,6,0.0,0.0,0.0,0.0,0.0,4,1,0,1,0,5,5,1,1,0,0,4,2,0,0,0,6,0,0,0,0,3,0,3,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
2017,1,422.0,40.0,30.0,3,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,1,1,2,2,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2017,1,423.0,43.95,30.0,10,0.0,0.0,0.0,0.0,0.0,6,0,2,2,0,7,7,3,3,0,0,6,3,1,0,0,9,1,0,0,0,6,0,4,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
2017,1,424.0,61.1,30.0,5,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,3,3,2,2,0,0,3,1,0,1,0,4,0,0,0,1,2,1,2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
2017,1,431.0,44.14705882352941,27.058823529411764,17,0.0,0.0,0.0,0.0,0.0,14,0,1,2,0,8,8,9,9,0,0,15,2,0,0,0,15,2,0,0,0,7,3,7,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
