score,min_samples,eps,n_clusters
0.40668433093732875,5,0.18999999999999995,1
0.40613186873529983,6,0.18999999999999995,1
0.4049095940570495,8,0.18999999999999995,1
0.4048460301189854,7,0.18999999999999995,1
0.40159296354585305,9,0.18999999999999995,1
0.3999165766636225,7,0.17999999999999997,1
0.39925862450910277,10,0.18999999999999995,1
0.3982403560448751,13,0.18999999999999995,1
0.3979318210931995,8,0.17999999999999997,1
0.3977915084520034,11,0.18999999999999995,1
0.39687780975927295,12,0.18999999999999995,1
0.3961092322160571,14,0.18999999999999995,1
0.3942401846390654,15,0.18999999999999995,1
0.39408559831755396,9,0.17999999999999997,1
0.39292226691954474,10,0.17999999999999997,1
0.3926495139408092,16,0.18999999999999995,1
0.3925961139477865,11,0.17999999999999997,1
0.39252829975949566,18,0.18999999999999995,1
0.39183901372924435,17,0.18999999999999995,1
0.3913508748555399,20,0.18999999999999995,1
0.3910346111130988,19,0.18999999999999995,1
0.39091670802564404,6,0.16999999999999998,1
0.3906559391884738,21,0.18999999999999995,1
0.39062777048795544,12,0.17999999999999997,1
0.3894582807778515,7,0.16999999999999998,1
0.3890250166543627,22,0.18999999999999995,1
0.388616592682416,23,0.18999999999999995,1
0.38819786808416146,13,0.17999999999999997,1
0.3871607994828858,14,0.17999999999999997,1
0.3856288753349212,24,0.18999999999999995,1
0.38549574422780486,16,0.17999999999999997,1
0.38535383124623246,25,0.18999999999999995,1
0.3852936198082319,15,0.17999999999999997,1
0.38426042165377455,17,0.17999999999999997,1
0.38419301621027074,26,0.18999999999999995,1
0.3840647324654545,27,0.18999999999999995,1
0.38352378494996225,18,0.17999999999999997,1
0.3832610349212538,28,0.18999999999999995,1
0.3821667699549732,19,0.17999999999999997,1
0.38198595711586475,29,0.18999999999999995,1
0.38181022201552206,30,0.18999999999999995,1
0.38147769330558734,10,0.16999999999999998,1
0.38137741548731435,31,0.18999999999999995,1
0.38055484333862144,32,0.18999999999999995,1
0.3803637451916263,11,0.16999999999999998,1
0.3785452570321659,20,0.17999999999999997,1
0.3779827509068762,12,0.16999999999999998,1
0.37725853099781653,21,0.17999999999999997,1
0.37652392394232437,13,0.16999999999999998,1
0.3763267549188038,22,0.17999999999999997,1
0.3761645456611927,14,0.16999999999999998,1
0.3755012563935441,23,0.17999999999999997,1
0.37500922840284473,24,0.17999999999999997,1
0.3729302304743407,15,0.16999999999999998,1
0.3711791653878317,16,0.16999999999999998,1
0.36947128283107433,10,0.15999999999999998,1
0.358865316623753,11,0.15999999999999998,2
0.3521006833471074,5,0.16999999999999998,3
0.3419771809609324,38,0.16999999999999998,1
0.34159493033718186,39,0.16999999999999998,1
0.3329774247189658,33,0.15999999999999998,1
0.3318755346443751,34,0.15999999999999998,1
0.3313319749465653,35,0.15999999999999998,1
0.330593078715961,36,0.15999999999999998,1
0.3297038351261192,37,0.15999999999999998,1
0.3291064511176008,38,0.15999999999999998,1
0.32860247509007273,39,0.15999999999999998,1
0.32826503053036665,24,0.14999999999999997,1
0.3268168422485812,25,0.14999999999999997,1
0.3252796619396363,26,0.14999999999999997,1
0.32403015154079934,27,0.14999999999999997,1
0.32342129998461006,28,0.14999999999999997,1
0.3224220614049265,29,0.14999999999999997,1
0.3214829318925946,30,0.14999999999999997,1
0.32072562953561395,9,0.15999999999999998,2
0.3204396051049172,31,0.14999999999999997,1
0.3194973374401383,32,0.14999999999999997,1
0.3187404905669804,33,0.14999999999999997,1
0.3184977492212289,20,0.13999999999999999,1
0.3178830876863155,34,0.14999999999999997,1
0.3168090599033709,35,0.14999999999999997,1
0.31658257555242064,21,0.13999999999999999,1
0.31532180425991274,22,0.13999999999999999,1
0.3151975620757022,36,0.14999999999999997,1
0.3146310393819244,37,0.14999999999999997,1
0.3139883035530016,23,0.13999999999999999,1
