Features,K,Score
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'weekend_crash_rate', 'night_crash_rate')",2,0.5449488722710705
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'weekend_crash_rate')",2,0.544247756167954
"('fatality_rate', 'damage_cost_LB', 'speeding_influence', 'weekend_crash_rate', 'road_defect_crash_rate', 'night_crash_rate')",2,0.5435613015388527
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'speeding_influence', 'weekend_crash_rate', 'night_crash_rate')",2,0.5383846608652701
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'weekend_crash_rate', 'night_crash_rate')",2,0.5376040414108515
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'night_crash_rate', 'avg_responsibility_score')",2,0.5375907280204153
"('avg_age', 'fatality_rate', 'damage_cost_LB', 'speeding_influence', 'weekend_crash_rate', 'night_crash_rate')",2,0.5366249009354015
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'night_crash_rate')",2,0.5347477142055643
"('avg_age', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'night_crash_rate', 'avg_responsibility_score')",2,0.5346412674422281
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'weekend_crash_rate', 'road_defect_crash_rate')",2,0.2614112448529242
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate', 'night_crash_rate')",6,0.23473068991664167
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate', 'avg_responsibility_score')",6,0.23155821808396385
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate')",2,0.23060411085071028
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'weekend_crash_rate', 'road_defect_crash_rate')",3,0.22953826247151202
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",6,0.22753263858283432
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",5,0.22707859554107887
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'avg_responsibility_score')",6,0.22633813881017717
