score,min_samples,eps,n_clusters
0.43907302506485163,95,1.7000000000000004,2
0.4339468047027615,104,1.7000000000000004,2
0.43382964737219154,97,1.7000000000000004,2
0.4338164091159266,98,1.7000000000000004,2
0.43379790827559656,99,1.7000000000000004,2
0.43379790827559656,100,1.7000000000000004,2
0.43352347651961964,96,1.7000000000000004,2
0.43321915402560035,102,1.7000000000000004,2
0.43321915402560035,103,1.7000000000000004,2
0.43320964389391337,101,1.7000000000000004,2
0.43135596348934174,95,1.6500000000000004,2
0.42756583844019963,96,1.6500000000000004,2
0.4275485015269537,97,1.6500000000000004,2
0.42752657897003865,98,1.6500000000000004,2
0.42752657897003865,99,1.6500000000000004,2
0.4142304506332815,103,1.6500000000000004,2
0.41368645728321635,101,1.6500000000000004,2
0.4136677016396365,102,1.6500000000000004,2
0.41328692567163544,100,1.6500000000000004,2
0.41070870929700437,95,1.6000000000000003,2
0.40659772732747873,103,1.6000000000000003,2
0.40659772732747873,104,1.6000000000000003,2
0.4062039730518819,104,1.6500000000000004,2
0.405062669637817,101,1.6000000000000003,2
0.4050395751970034,98,1.6000000000000003,2
0.4050077534976274,102,1.6000000000000003,2
0.4025500865675884,95,1.5500000000000003,2
0.4025500865675884,96,1.5500000000000003,2
0.4025500865675884,97,1.5500000000000003,2
0.40208297761198564,96,1.6000000000000003,2
0.40206718861853186,97,1.6000000000000003,2
0.4015937947609,98,1.5500000000000003,2
0.4002188007796287,100,1.6000000000000003,2
0.39859836900097834,99,1.5500000000000003,2
0.39833700906432296,99,1.6000000000000003,2
0.377816624765933,100,1.5500000000000003,2
0.3777592360822962,101,1.5500000000000003,2
