CRASH_YEAR,CRASH_MONTH,BEAT_OF_OCCURRENCE,avg_age,avg_speed_limit,total_crashes,sum_injuries_total,sum_injuries_fatal,sum_injuries_incapacitating,sum_injuries_non_incapacitating,sum_injuries_reported_not_evident,sum_weather_category_clear,sum_weather_category_cloudy,sum_weather_category_rain,sum_weather_category_extreme,sum_weather_category_unknown,sum_lighting_category_daylight,sum_lighting_category_night,sum_lighting_category_unknown,sum_roadway_surface_category_dry,sum_roadway_surface_category_wet,sum_roadway_surface_category_snow,sum_roadway_surface_category_ice,sum_roadway_surface_category_unknown,sum_road_defect_category_no_defects,sum_road_defect_category_bad,sum_road_defect_category_defect,sum_road_defect_category_debris,sum_road_defect_category_unknown,sum_damage_category_high,sum_damage_category_low,sum_damage_category_medium,sum_gender_unknown,sum_gender_female,sum_gender_male,sum_category_motorcycle,sum_category_off-road/specialized,sum_category_passenger vehicle,sum_category_public transport,sum_category_truck/commercial
2017,1,224.0,41.8,30.0,6,1.0,0.0,0.0,1.0,0.0,3,0,0,3,0,5,1,0,3,0,1,2,0,6,0,0,0,0,2,0,4,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
2017,1,225.0,51.0,30.0,6,2.0,0.0,1.0,0.0,1.0,6,0,0,0,0,2,4,0,5,1,0,0,0,6,0,0,0,0,5,1,0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0
2017,1,231.0,44.5,31.666666666666668,3,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,3,0,0,2,0,0,0,1,2,0,0,0,1,2,0,1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
2017,1,232.0,51.333333333333336,30.0,4,4.0,0.0,0.0,3.0,1.0,2,0,0,1,1,2,2,0,1,0,0,2,1,3,0,0,0,1,3,0,1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2017,1,233.0,49.0,26.25,8,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,7,1,0,7,0,0,0,1,7,0,0,0,1,2,3,3,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2017,1,234.0,53.3,26.363636363636363,11,1.0,0.0,0.0,1.0,0.0,9,0,2,0,0,6,5,0,8,2,0,0,1,11,0,0,0,0,6,2,3,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2017,1,235.0,37.77777777777778,23.0,10,0.0,0.0,0.0,0.0,0.0,8,1,1,0,0,7,3,0,8,2,0,0,0,8,0,1,0,1,4,2,4,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0
2017,1,311.0,44.75,26.0,10,2.0,0.0,1.0,0.0,1.0,4,0,3,2,1,5,4,1,4,4,1,0,1,9,0,0,0,1,5,1,4,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
2017,1,312.0,44.1,30.0,22,7.0,0.0,0.0,6.0,1.0,9,1,7,3,2,12,10,0,7,8,3,3,1,16,0,0,1,5,11,4,7,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
2017,1,313.0,49.611111111111114,29.09090909090909,11,2.0,0.0,0.0,0.0,2.0,7,0,3,1,0,7,4,0,5,3,0,2,1,9,0,0,0,2,7,1,3,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0
